product_id,height,width,length,weight,can_mix
598,4,12,19,274,Food
599,4,20,11,288,Food
600,14,9,6,82,Food
601,4,7,14,94,Food
602,18,14,5,216,Food
603,5,12,17,440,Food
604,4,20,14,426,Food
605,13,5,2,36,Food
606,17,22,5.5,210,Food
607,22,14,8,NULL,Food
608,18.5,20.5,7,NULL,NULL
609,12,23,6,432,Food
610,12,19,3.5,500,Food
611,33,10,10,1788,Food
612,33.5,9,9,1802,Food
613,34,9,9,1750,Food
614,34,9,9,1750,Food
615,10,8,8,120,Toilet
616,19,9,3,170,Food
617,7,17,17,154,Food
618,17,11.5,1.5,NULL,NULL
619,13,18,1.5,100,Food
620,2,13,21,208,Food
621,26,15,9,NULL,Food
622,3,18,23,362,Food
623,26,14,2,60,NULL
624,38,15,2,72,Toilet
625,5,13,22,1020,Food
626,4.5,15,23,1010,Food
627,3,15,19,505,Food
628,20,16,8,215,Food
629,4,13,18,282,Food
630,18,5.5,5.5,300,Food
631,10,10,9,375,Toilet
632,20,8,5,125,Food
633,17,8,8,562,Toilet
634,4,6,10,210,Toilet
635,7,25,5,908,Toilet
636,22,8,4,320,Toilet
637,3,14,13,302,Food
638,15,10,3,240,Food
639,3,14,11,418,Food
640,15,12,8,1301,Food
641,12,7.5,15,1330,Food
642,4,4,4,240,Food
643,4,12,12,154,Pets
644,16,14,5,91,Food
645,8,12.5,4.5,NULL,NULL
646,9,7,7,205,Food
647,16,10,6,314,Food
648,21,6,6,414,Food
649,5,13,21,1025,Food
651,12,15,8,NULL,NULL
652,12,19,2.5,500,Food
653,28.5,10,3,556,Food
654,27,10,7,1001,Toilet
655,26,7,6,1004,Toilet
656,26,8,4,568,Toilet
657,21.5,5.5,5.5,416,Toilet
658,16,6,6,548,Toilet
659,12.5,19.5,2.5,500,Food
660,18,9,3,NULL,Food
661,3,15,20,210,Food
662,2,14,19,200,Food
663,4,14,18,206,Food
664,18,9,3,160,Food
665,7,9,1.5,10,NULL
666,2,9,15,28,Toilet
667,2,8,18,26,Food
668,NULL,NULL,NULL,NULL,NULL
669,6.5,13,13,486,Food
670,7,13,9,260,Food
671,19,14,2,NULL,NULL
672,21,12,6,306,Food
673,16,9,5,390,Food
674,15,8,4,157,Food
675,34.5,32,14,250,Food
676,20,12,7,208,Food
677,19,13,5,212,Food
678,NULL,NULL,NULL,NULL,NULL
679,2,10,10,232,Food
680,7,26,17,180,Food
681,13,10,1,14.2,Food
682,23,10,12,275,Food
683,15,15,6,300,Food
684,7,12,18,458,Food
685,8,13,22,280,Food
686,35,25,15,10,Food
687,4,11,21,150,Food
688,35,25,15,100,Food
689,30,11,9,380,Food
690,25,14,5,440,Food
691,30,12,6,405,Food
692,19,15,7,400,Food
693,13,23,10,270,Food
694,10,10,10,100,Food
695,22,10,10,410,Food
696,35,25,15,100,Food
697,30,10,8,503,Food
698,5,13,22,NULL,NULL
699,20,15,2,560,NULL
700,2,10,12.5,106,Food
701,20,32,9,988,Food
702,19,30,10,824,Food
703,NULL,NULL,NULL,NULL,Food
704,NULL,NULL,NULL,NULL,Food
